date,Sigla,new_cases,new_deaths,Populacao,total_cases_per_million
2020-03-17,AC,3,0,894470,0.33539
2020-03-18,AC,0,0,894470,0.33539
2020-03-19,AC,1,0,894470,0.44719
2020-03-20,AC,3,0,894470,0.78259
2020-03-21,AC,4,0,894470,1.22978
2020-03-22,AC,0,0,894470,1.22978
2020-03-23,AC,6,0,894470,1.90057
2020-03-24,AC,4,0,894470,2.34776
2020-03-25,AC,2,0,894470,2.57136
2020-03-26,AC,0,0,894470,2.57136
2020-03-27,AC,2,0,894470,2.79495
2020-03-28,AC,0,0,894470,2.79495
2020-03-29,AC,9,0,894470,3.80113
2020-03-30,AC,7,0,894470,4.58372
2020-03-31,AC,1,0,894470,4.69552
2020-04-01,AC,1,0,894470,4.80732
2020-04-02,AC,2,0,894470,5.03091
2020-04-03,AC,1,0,894470,5.14271
2020-04-04,AC,0,0,894470,5.14271
2020-04-05,AC,2,0,894470,5.36631
2020-04-06,AC,2,1,894470,5.5899
2020-04-07,AC,0,1,894470,5.5899
2020-04-08,AC,8,0,894470,6.48429
2020-04-09,AC,4,0,894470,6.93148
2020-04-10,AC,8,0,894470,7.82586
2020-04-11,AC,2,0,894470,8.04946
2020-04-12,AC,5,0,894470,8.60845
2020-04-13,AC,13,1,894470,10.06182
2020-04-14,AC,9,0,894470,11.06801
2020-04-15,AC,2,1,894470,11.2916
2020-04-16,AC,14,1,894470,12.85678
2020-04-17,AC,20,0,894470,15.09274
2020-04-18,AC,7,1,894470,15.87532
2020-04-19,AC,21,0,894470,18.22308
2020-04-20,AC,13,2,894470,19.67646
2020-04-21,AC,19,0,894470,21.80062
2020-04-22,AC,19,0,894470,23.92478
2020-04-23,AC,13,2,894470,25.37816
2020-04-24,AC,7,1,894470,26.16074
2020-04-25,AC,24,0,894470,28.8439
2020-04-26,AC,21,0,894470,31.19166
2020-04-27,AC,22,3,894470,33.65121
2020-04-28,AC,16,2,894470,35.43998
2020-04-29,AC,37,2,894470,39.57651
2020-04-30,AC,50,1,894470,45.16641
2020-05-01,AC,83,0,894470,54.44565
2020-05-02,AC,66,3,894470,61.82432
2020-05-03,AC,105,3,894470,73.56312
2020-05-04,AC,75,3,894470,81.94797
2020-05-05,AC,84,1,894470,91.33901
2020-05-06,AC,126,6,894470,105.42556
2020-05-07,AC,71,1,894470,113.36322
2020-05-08,AC,163,2,894470,131.5863
2020-05-09,AC,158,2,894470,149.25039
2020-05-10,AC,112,1,894470,161.77178
2020-05-11,AC,13,3,894470,163.22515
2020-05-12,AC,130,7,894470,177.7589
2020-05-13,AC,104,1,894470,189.38589
2020-05-14,AC,46,3,894470,194.5286
2020-05-15,AC,45,2,894470,199.55952
2020-05-16,AC,82,2,894470,208.72696
2020-05-17,AC,129,3,894470,223.1489
2020-05-18,AC,238,5,894470,249.75684
2020-05-19,AC,248,6,894470,277.48276
2020-05-20,AC,335,2,894470,314.9351
2020-05-21,AC,286,3,894470,346.90934
2020-05-22,AC,240,2,894470,373.74087
2020-05-23,AC,524,7,894470,432.32305
2020-05-24,AC,293,5,894470,465.07988
2020-05-25,AC,341,5,894470,503.20301
2020-05-26,AC,280,8,894470,534.50647
2020-05-27,AC,470,8,894470,587.05155
2020-05-28,AC,349,9,894470,626.06907
2020-05-29,AC,241,13,894470,653.0124
2020-05-30,AC,231,7,894470,678.83775
2020-05-31,AC,147,6,894470,695.27206
2020-06-01,AC,107,13,894470,707.23445
2020-06-02,AC,139,4,894470,722.77438
2020-06-03,AC,214,6,894470,746.69916
2020-06-04,AC,342,10,894470,784.9341
2020-06-05,AC,263,9,894470,814.33698
2020-06-06,AC,241,11,894470,841.28031
2020-06-07,AC,458,6,894470,892.48382
2020-06-08,AC,144,4,894470,908.58274
2020-06-09,AC,330,12,894470,945.47609
2020-06-10,AC,289,14,894470,977.78573
2020-06-11,AC,345,8,894470,1016.35605
2020-06-12,AC,204,9,894470,1039.16286
2020-06-13,AC,239,2,894470,1065.88259
2020-06-14,AC,108,3,894470,1077.95678
2020-06-15,AC,129,6,894470,1092.37873
2020-06-16,AC,232,6,894470,1118.31587
2020-06-17,AC,336,10,894470,1155.88002
2020-06-18,AC,325,6,894470,1192.21438
2020-06-19,AC,323,5,894470,1228.32515
2020-06-20,AC,276,5,894470,1259.18141
2020-06-21,AC,118,3,894470,1272.37358
2020-06-22,AC,158,5,894470,1290.03768
2020-06-23,AC,271,16,894470,1320.33495
2020-06-24,AC,212,5,894470,1344.03613
2020-06-25,AC,282,9,894470,1375.56318
2020-06-26,AC,340,8,894470,1413.57452
2020-06-27,AC,269,8,894470,1443.64819
2020-06-28,AC,145,2,894470,1459.85891
2020-06-29,AC,88,8,894470,1469.69714
2020-06-30,AC,107,4,894470,1481.65953
2020-07-01,AC,462,5,894470,1533.31023
2020-07-02,AC,333,8,894470,1570.53898
2020-07-03,AC,64,9,894470,1577.69405
2020-07-04,AC,375,4,894470,1619.61832
2020-07-05,AC,135,0,894470,1634.71106
2020-07-06,AC,66,3,894470,1642.08973
2020-07-07,AC,253,5,894470,1670.37464
2020-07-08,AC,226,5,894470,1695.64099
2020-07-09,AC,298,7,894470,1728.95681
2020-07-10,AC,303,6,894470,1762.83162
2020-07-11,AC,312,2,894470,1797.71261
2020-07-12,AC,110,7,894470,1810.0104
2020-07-13,AC,70,4,894470,1817.83626
2020-07-14,AC,219,6,894470,1842.32003
2020-07-15,AC,193,10,894470,1863.89706
2020-07-16,AC,193,1,894470,1885.47408
2020-07-17,AC,100,5,894470,1896.65388
2020-07-18,AC,237,5,894470,1923.15002
2020-07-19,AC,93,3,894470,1933.54724
2020-07-20,AC,167,5,894470,1952.21751
2020-07-21,AC,238,4,894470,1978.82545
2020-07-22,AC,279,1,894470,2010.01711
2020-07-23,AC,178,4,894470,2029.91716
2020-07-24,AC,236,6,894470,2056.3015
2020-07-25,AC,264,3,894470,2085.81618
2020-07-26,AC,88,3,894470,2095.65441
2020-07-27,AC,38,7,894470,2099.90274
2020-07-28,AC,349,7,894470,2138.92025
2020-07-29,AC,234,10,894470,2165.081
2020-07-30,AC,207,11,894470,2188.22319
2020-07-31,AC,52,10,894470,2194.03669
2020-08-01,AC,305,4,894470,2228.1351
2020-08-02,AC,36,2,894470,2232.15983
2020-08-03,AC,373,2,894470,2273.8605
2020-08-04,AC,371,6,894470,2315.33757
2020-08-05,AC,323,2,894470,2351.44834
2020-08-06,AC,230,5,894470,2377.16189
2020-08-07,AC,113,4,894470,2389.79507
2020-08-08,AC,122,3,894470,2403.43444
2020-08-09,AC,89,2,894470,2413.38446
2020-08-10,AC,32,1,894470,2416.962
2020-08-11,AC,138,3,894470,2432.39013
2020-08-12,AC,236,4,894470,2458.77447
2020-08-13,AC,249,5,894470,2486.61218
2020-08-14,AC,193,2,894470,2508.18921
2020-08-15,AC,81,0,894470,2517.24485
2020-08-16,AC,32,0,894470,2520.82239
2020-08-17,AC,57,6,894470,2527.19488
2020-08-18,AC,328,8,894470,2563.86463
2020-08-19,AC,213,1,894470,2587.67762
2020-08-20,AC,176,4,894470,2607.35408
2020-08-21,AC,15,3,894470,2609.03105
2020-08-22,AC,328,0,894470,2645.70081
2020-08-23,AC,54,2,894470,2651.7379
2020-08-24,AC,10,4,894470,2652.85588
2020-08-25,AC,207,3,894470,2675.99808
2020-08-26,AC,183,0,894470,2696.45712
2020-08-27,AC,150,0,894470,2713.22683
2020-08-28,AC,193,1,894470,2734.80385
2020-08-29,AC,139,0,894470,2750.34378
2020-08-30,AC,37,1,894470,2754.48031
2020-08-31,AC,9,3,894470,2755.48649
2020-09-01,AC,193,4,894470,2777.06351
2020-09-02,AC,187,2,894470,2797.96975
2020-09-03,AC,108,4,894470,2810.04394
2020-09-04,AC,114,1,894470,2822.78891
2020-09-05,AC,159,1,894470,2840.5648
2020-09-06,AC,35,0,894470,2844.47774
2020-09-07,AC,26,0,894470,2847.38448
2020-09-08,AC,25,6,894470,2850.17944
2020-09-09,AC,174,1,894470,2869.6323
2020-09-10,AC,209,4,894470,2892.99809
2020-09-11,AC,127,1,894470,2907.19644
2020-09-12,AC,144,1,894470,2923.29536
2020-09-13,AC,18,3,894470,2925.30772
2020-09-14,AC,10,0,894470,2926.4257
2020-09-15,AC,111,2,894470,2938.83529
2020-09-16,AC,176,1,894470,2958.51174
2020-09-17,AC,253,3,894470,2986.79665
2020-09-18,AC,226,1,894470,3012.06301
2020-09-19,AC,119,1,894470,3025.36698
2020-09-20,AC,18,1,894470,3027.37934
2020-09-21,AC,27,0,894470,3030.39789
2020-09-22,AC,140,2,894470,3046.04962
2020-09-23,AC,151,1,894470,3062.93112
2020-09-24,AC,159,1,894470,3080.70701
2020-09-25,AC,154,1,894470,3097.92391
2020-09-26,AC,149,2,894470,3114.58182
2020-09-27,AC,15,1,894470,3116.25879
2020-09-28,AC,11,0,894470,3117.48857
2020-09-29,AC,145,0,894470,3133.69929
2020-09-30,AC,192,2,894470,3155.16451
2020-10-01,AC,187,2,894470,3176.07075
2020-10-02,AC,146,3,894470,3192.39326
2020-10-03,AC,107,3,894470,3204.35565
2020-10-04,AC,10,0,894470,3205.47363
2020-10-05,AC,15,0,894470,3207.1506
2020-10-06,AC,118,1,894470,3220.34277
2020-10-07,AC,13,0,894470,3221.79615
2020-10-08,AC,16,1,894470,3223.58492
2020-10-09,AC,183,5,894470,3244.04396
2020-10-10,AC,14,0,894470,3245.60913
2020-10-11,AC,19,0,894470,3247.73329
2020-10-12,AC,13,1,894470,3249.18667
2020-10-13,AC,209,0,894470,3272.55246
2020-10-14,AC,29,1,894470,3275.7946
2020-10-15,AC,105,1,894470,3287.5334
2020-10-16,AC,192,2,894470,3308.99862
2020-10-17,AC,95,0,894470,3319.61944
2020-10-18,AC,25,0,894470,3322.41439
2020-10-19,AC,47,0,894470,3327.6689
2020-10-20,AC,100,3,894470,3338.8487
2020-10-21,AC,60,0,894470,3345.55659
2020-10-22,AC,103,3,894470,3357.07179
2020-10-23,AC,93,1,894470,3367.469
2020-10-24,AC,96,0,894470,3378.20162
2020-10-25,AC,87,1,894470,3387.92805
2020-10-26,AC,13,2,894470,3389.38142
2020-10-27,AC,63,1,894470,3396.4247
2020-10-28,AC,165,1,894470,3414.87138
2020-10-29,AC,93,1,894470,3425.26859
2020-10-30,AC,120,1,894470,3438.68436
2020-10-31,AC,38,0,894470,3442.93269
