"date","Estado","Sigla","C6","C6_Flag"
2020-01-01,"Acre","AC","Sem medida",NA
2020-01-02,"Acre","AC","Sem medida",NA
2020-01-03,"Acre","AC","Sem medida",NA
2020-01-04,"Acre","AC","Sem medida",NA
2020-01-05,"Acre","AC","Sem medida",NA
2020-01-06,"Acre","AC","Sem medida",NA
2020-01-07,"Acre","AC","Sem medida",NA
2020-01-08,"Acre","AC","Sem medida",NA
2020-01-09,"Acre","AC","Sem medida",NA
2020-01-10,"Acre","AC","Sem medida",NA
2020-01-11,"Acre","AC","Sem medida",NA
2020-01-12,"Acre","AC","Sem medida",NA
2020-01-13,"Acre","AC","Sem medida",NA
2020-01-14,"Acre","AC","Sem medida",NA
2020-01-15,"Acre","AC","Sem medida",NA
2020-01-16,"Acre","AC","Sem medida",NA
2020-01-17,"Acre","AC","Sem medida",NA
2020-01-18,"Acre","AC","Sem medida",NA
2020-01-19,"Acre","AC","Sem medida",NA
2020-01-20,"Acre","AC","Sem medida",NA
2020-01-21,"Acre","AC","Sem medida",NA
2020-01-22,"Acre","AC","Sem medida",NA
2020-01-23,"Acre","AC","Sem medida",NA
2020-01-24,"Acre","AC","Sem medida",NA
2020-01-25,"Acre","AC","Sem medida",NA
2020-01-26,"Acre","AC","Sem medida",NA
2020-01-27,"Acre","AC","Sem medida",NA
2020-01-28,"Acre","AC","Sem medida",NA
2020-01-29,"Acre","AC","Sem medida",NA
2020-01-30,"Acre","AC","Sem medida",NA
2020-01-31,"Acre","AC","Sem medida",NA
2020-02-01,"Acre","AC","Sem medida",NA
2020-02-02,"Acre","AC","Sem medida",NA
2020-02-03,"Acre","AC","Sem medida",NA
2020-02-04,"Acre","AC","Sem medida",NA
2020-02-05,"Acre","AC","Sem medida",NA
2020-02-06,"Acre","AC","Sem medida",NA
2020-02-07,"Acre","AC","Sem medida",NA
2020-02-08,"Acre","AC","Sem medida",NA
2020-02-09,"Acre","AC","Sem medida",NA
2020-02-10,"Acre","AC","Sem medida",NA
2020-02-11,"Acre","AC","Sem medida",NA
2020-02-12,"Acre","AC","Sem medida",NA
2020-02-13,"Acre","AC","Sem medida",NA
2020-02-14,"Acre","AC","Sem medida",NA
2020-02-15,"Acre","AC","Sem medida",NA
2020-02-16,"Acre","AC","Sem medida",NA
2020-02-17,"Acre","AC","Sem medida",NA
2020-02-18,"Acre","AC","Sem medida",NA
2020-02-19,"Acre","AC","Sem medida",NA
2020-02-20,"Acre","AC","Sem medida",NA
2020-02-21,"Acre","AC","Sem medida",NA
2020-02-22,"Acre","AC","Sem medida",NA
2020-02-23,"Acre","AC","Sem medida",NA
2020-02-24,"Acre","AC","Sem medida",NA
2020-02-25,"Acre","AC","Sem medida",NA
2020-02-26,"Acre","AC","Sem medida",NA
2020-02-27,"Acre","AC","Sem medida",NA
2020-02-28,"Acre","AC","Sem medida",NA
2020-02-29,"Acre","AC","Sem medida",NA
2020-03-01,"Acre","AC","Sem medida",NA
2020-03-02,"Acre","AC","Sem medida",NA
2020-03-03,"Acre","AC","Sem medida",NA
2020-03-04,"Acre","AC","Sem medida",NA
2020-03-05,"Acre","AC","Sem medida",NA
2020-03-06,"Acre","AC","Sem medida",NA
2020-03-07,"Acre","AC","Sem medida",NA
2020-03-08,"Acre","AC","Sem medida",NA
2020-03-09,"Acre","AC","Sem medida",NA
2020-03-10,"Acre","AC","Sem medida",NA
2020-03-11,"Acre","AC","Sem medida",NA
2020-03-12,"Acre","AC","Sem medida",NA
2020-03-13,"Acre","AC","Sem medida",NA
2020-03-14,"Acre","AC","Sem medida",NA
2020-03-15,"Acre","AC","Sem medida",NA
2020-03-16,"Acre","AC","Sem medida",NA
2020-03-17,"Acre","AC","Sem medida",NA
2020-03-18,"Acre","AC","Sem medida",NA
2020-03-19,"Acre","AC","Sem medida",NA
2020-03-20,"Acre","AC","Recomendado ficar
em casa","1"
2020-03-21,"Acre","AC","Recomendado ficar
em casa","1"
2020-03-22,"Acre","AC","Recomendado ficar
em casa","1"
2020-03-23,"Acre","AC","Recomendado ficar
em casa","1"
2020-03-24,"Acre","AC","Recomendado ficar
em casa","1"
2020-03-25,"Acre","AC","Recomendado ficar
em casa","1"
2020-03-26,"Acre","AC","Recomendado ficar
em casa","1"
2020-03-27,"Acre","AC","Recomendado ficar
em casa","1"
2020-03-28,"Acre","AC","Recomendado ficar
em casa","1"
2020-03-29,"Acre","AC","Recomendado ficar
em casa","1"
2020-03-30,"Acre","AC","Recomendado ficar
em casa","1"
2020-03-31,"Acre","AC","Recomendado ficar
em casa","1"
2020-04-01,"Acre","AC","Recomendado ficar
em casa","1"
2020-04-02,"Acre","AC","Recomendado ficar
em casa","1"
2020-04-03,"Acre","AC","Recomendado ficar
em casa","1"
2020-04-04,"Acre","AC","Recomendado ficar
em casa","1"
2020-04-05,"Acre","AC","Recomendado ficar
em casa","1"
2020-04-06,"Acre","AC","Recomendado ficar
em casa","1"
2020-04-07,"Acre","AC","Recomendado ficar
em casa","1"
2020-04-08,"Acre","AC","Recomendado ficar
em casa","1"
2020-04-09,"Acre","AC","Recomendado ficar
em casa","1"
2020-04-10,"Acre","AC","Recomendado ficar
em casa","1"
2020-04-11,"Acre","AC","Recomendado ficar
em casa","1"
2020-04-12,"Acre","AC","Recomendado ficar
em casa","1"
2020-04-13,"Acre","AC","Recomendado ficar
em casa","1"
2020-04-14,"Acre","AC","Recomendado ficar
em casa","1"
2020-04-15,"Acre","AC","Recomendado ficar
em casa","1"
2020-04-16,"Acre","AC","Recomendado ficar
em casa","1"
2020-04-17,"Acre","AC","Recomendado ficar
em casa","1"
2020-04-18,"Acre","AC","Recomendado ficar
em casa","1"
2020-04-19,"Acre","AC","Recomendado ficar
em casa","1"
2020-04-20,"Acre","AC","Recomendado ficar
em casa","1"
2020-04-21,"Acre","AC","Recomendado ficar
em casa","1"
2020-04-22,"Acre","AC","Recomendado ficar
em casa","1"
2020-04-23,"Acre","AC","Recomendado ficar
em casa","1"
2020-04-24,"Acre","AC","Recomendado ficar
em casa","1"
2020-04-25,"Acre","AC","Recomendado ficar
em casa","1"
2020-04-26,"Acre","AC","Recomendado ficar
em casa","1"
2020-04-27,"Acre","AC","Recomendado ficar
em casa","1"
2020-04-28,"Acre","AC","Recomendado ficar
em casa","1"
2020-04-29,"Acre","AC","Recomendado ficar
em casa","1"
2020-04-30,"Acre","AC","Recomendado ficar
em casa","1"
2020-05-01,"Acre","AC","Recomendado ficar
em casa","1"
2020-05-02,"Acre","AC","Recomendado ficar
em casa","1"
2020-05-03,"Acre","AC","Recomendado ficar
em casa","1"
