"date","iso_code","new_cases_per_million","new_cases_smoothed_per_million","cases_growth","deaths_growth","vaccine_growth","Policy_change","Restrict","Isolamento","Isolamento_7","Isolamento_14","Residential","Closure","stayhome_growth","stayhome_growth_7","stayhome_growth_14","total_deaths","cases_growth_after14","Policy","cases_rolling_14","cum_negative_day","y.max","delta","Pico","nPico","Onda"
2020-03-30,"BRA",1.47149999999948,1.11157142857261,6.96261682243255,NA,NA,0.125,TRUE,"Imposto","Imposto","Imposto",20,2.625,17.6470588235294,17.6470588235294,17.6470588235294,55.3571428571429,5.10067432241901,"Restrição",3.16681750063056,1,107.316285714287,106.204714285714,FALSE,0,"pós 2o pico"
2020-04-05,"BRA",3.22064285714234,2.44100000000118,2.62427166788097,7.21700444883886,NA,0.125,TRUE,"Queda","Queda","Queda",15,2.625,-6.25,-6.25,-6.25,197.785714285714,4.66129436393201,"Restrição",3.8590789123349,0,102.074785714287,99.6337857142858,FALSE,0,"Início ao 1o pico"
2020-04-06,"BRA",3.44007142857091,2.72221428571546,6.81319168755241,14.9838635315824,NA,0.125,TRUE,"Imposto","Imposto","Imposto",18,2.625,20,20,20,235.642857142857,3.8443716792292,"Restrição",4.21058633257189,0,97.2040000000012,94.4817857142857,FALSE,0,"Início ao 1o pico"
2020-04-10,"BRA",5.45092857142805,4.12328571428689,7.3742120666374,10.5160662122691,NA,0.125,TRUE,"Imposto","Imposto","Imposto",27,2.625,68.75,68.75,68.75,466.928571428571,7.70413153849774,"Restrição",4.75542514077159,0,92.9590714285726,88.8357857142857,FALSE,0,"Início ao 1o pico"
2020-04-11,"BRA",5.65321428571376,4.48250000000118,3.71103219634961,4.97797356828209,NA,0.125,TRUE,"Queda","Queda","Queda",16,2.625,-40.7407407407407,-40.7407407407407,-40.7407407407407,539.285714285714,12.1845287005523,"Restrição",4.99190427081257,0,89.7850000000012,85.3025,FALSE,0,"Início ao 1o pico"
2020-04-12,"BRA",6.02721428571376,4.88350000000118,6.61570535093874,7.30172052035272,NA,0.125,TRUE,"Queda","Queda","Queda",13,2.625,-18.75,-18.75,-18.75,616.928571428571,5.98734463027952,"Restrição",5.10626738384422,0,87.3102857142869,82.4267857142857,FALSE,0,"Início ao 1o pico"
2020-04-13,"BRA",6.33464285714233,5.29707142857261,5.10067432241901,7.54790770434124,NA,0.125,TRUE,"Imposto","Imposto","Imposto",17,2.625,30.7692307692308,30.7692307692308,30.7692307692308,700.428571428571,7.59762022290953,"Restrição",5.27822129466817,0,85.2805000000012,79.9834285714286,FALSE,0,"Início ao 1o pico"
2020-04-14,"BRA",6.56785714285662,5.66950000000118,3.68156960027093,13.8545454545458,NA,0.125,TRUE,"Imposto","Imposto","Imposto",18,2.625,5.88235294117647,5.88235294117647,5.88235294117647,795.5,8.98989264862859,"Restrição",4.91418889081767,0,83.5557857142869,77.8862857142857,FALSE,0,"Início ao 1o pico"
2020-04-15,"BRA",7.21949999999948,6.04721428571546,9.92169657422592,12.4081763015014,NA,0.125,TRUE,"Queda","Queda","Queda",18,2.625,0,0,0,902.357142857143,7.07022371097044,"Restrição",5.29578227305553,0,81.6920714285726,75.6448571428571,FALSE,0,"Início ao 1o pico"
2020-04-16,"BRA",7.52092857142805,6.39642857142975,4.17520010289623,6.94700951839764,NA,0.125,TRUE,"Queda","Queda","Queda",18,2.625,0,0,0,1016.64285714286,10.5073453341613,"Restrição",5.35942083383734,0,79.902642857144,73.5062142857143,FALSE,0,"Início ao 1o pico"
2020-04-18,"BRA",8.83721428571376,7.25478571428689,6.78952138448965,7.12070610687034,NA,0.125,TRUE,"Queda","Queda","Queda",15,2.625,-21.0526315789474,-21.0526315789474,-21.0526315789474,1280.28571428571,3.2842857713641,"Restrição",5.2603588740975,0,78.7085000000012,71.4537142857143,FALSE,0,"Início ao 1o pico"
2020-04-19,"BRA",9.24914285714233,7.7150714285726,4.66129436393201,3.50740452065477,NA,0.125,TRUE,"Queda","Queda","Queda",14,2.625,-6.66666666666667,-6.66666666666667,-6.66666666666667,1421.42857142857,4.51692086948277,"Restrição",5.53797230456606,0,78.0109285714298,70.2958571428572,FALSE,0,"Início ao 1o pico"
