"date","iso_code","new_cases_per_million","new_cases_smoothed_per_million","cases_growth","deaths_growth","vaccine_growth","Policy_change","Restrict","Isolamento","Isolamento_7","Isolamento_14","Residential","Closure","stayhome_growth","stayhome_growth_7","stayhome_growth_14","total_deaths","cases_growth_after14","Policy","cases_rolling_14","cum_negative_day","y.max","delta","Pico","nPico","Onda","Strigency_type"
2020-03-10,"ITA",11.6094999999983,7.31928571428836,9.88493158094157,36.1840360647037,NA,0,FALSE,"Voluntário","Voluntário","Voluntário",16,2.375,45.4545454545455,300,220,170.642857142857,7.80199952739267,"Sem mudanças",1.28536016519169,4,608.757071428574,601.437785714286,FALSE,0,"Início ao 1o pico","High"
2020-03-22,"ITA",61.1519999999983,44.9925714285741,8.52916792377754,11.2800863748881,NA,0,FALSE,"Queda","Voluntário","Voluntário",24,2.625,-7.69230769230769,9.09090909090908,300,2345,-1.75078370439459,"Sem mudanças",1.59835771615994,3,580.313571428574,535.321,FALSE,0,"Início ao 1o pico","High"
2020-03-23,"ITA",64.6867142857126,49.8549285714312,5.78021043582284,9.86333786901732,NA,0,FALSE,"Voluntário","Voluntário","Voluntário",32,2.625,33.3333333333333,18.5185185185185,190.909090909091,2746,-1.70464042930402,"Sem mudanças",1.88623063616905,2,553.195142857145,503.340214285714,FALSE,0,"Início ao 1o pico","High"
2020-03-24,"ITA",69.7335714285698,54.9218571428598,7.80199952739267,10.2422160235216,NA,0,FALSE,"Queda","Voluntário","Voluntário",32,2.625,0,10.3448275862069,100,3188.07142857143,-3.22063632062222,"Sem mudanças",2.30375482824417,1,530.115714285717,475.193857142857,FALSE,0,"Início ao 1o pico","High"
2020-03-25,"ITA",73.1559999999983,59.8667857142884,4.90786360330657,7.86823106456558,NA,0,FALSE,"Voluntário","Voluntário","Voluntário",34,2.625,6.25,13.3333333333333,78.9473684210526,3664.92857142857,-2.06895798262716,"Sem mudanças",2.96423577472022,0,508.018285714288,448.1515,FALSE,0,"Início ao 1o pico","High"
2020-03-26,"ITA",77.352285714284,64.6427857142884,5.7360786733635,7.83408051442285,NA,0,FALSE,"Voluntário","Voluntário","Voluntário",35,2.625,2.94117647058822,12.9032258064516,45.8333333333333,4179.14285714286,-3.07375791843854,"Sem mudanças",3.43386110195073,1,489.476428571431,424.833642857143,FALSE,0,"Início ao 1o pico","High"
2020-03-27,"ITA",81.3240714285698,69.1072142857169,5.13467142904644,9.29324318649474,NA,0,FALSE,"Voluntário","Voluntário","Voluntário",36,2.625,2.85714285714285,12.5,28.5714285714286,4741.14285714286,-3.10610776421441,"Sem mudanças",3.82154626655242,2,473.676714285717,404.5695,FALSE,0,"Início ao 1o pico","High"
2020-03-28,"ITA",84.2503571428555,73.0935000000026,3.59830203146678,9.07477138246369,NA,0,FALSE,"Queda","Voluntário","Voluntário",27,2.625,-25,3.84615384615385,8.00000000000001,5354.14285714286,-2.09561010763146,"Sem mudanças",2.94359416831929,3,459.974285714288,386.880785714285,FALSE,0,"Início ao 1o pico","High"
2020-03-29,"ITA",86.1724999999983,76.6678571428598,2.28146553003172,4.52166071340503,NA,0,FALSE,"Queda","Queda","Voluntário",24,2.625,-11.1111111111111,0,9.09090909090908,5994.85714285714,-1.88132496559791,"Sem mudanças",2.20931190916414,4,451.202071428574,374.534214285714,FALSE,0,"Início ao 1o pico","High"
2020-03-30,"ITA",87.1376428571412,79.8751428571455,1.12001259931285,5.16187304946851,NA,0,FALSE,"Voluntário","Queda","Voluntário",32,2.625,33.3333333333333,0,18.5185185185185,6668.64285714286,-1.52870377049353,"Sem mudanças",1.67467970451222,5,443.521500000003,363.646357142857,FALSE,0,"Início ao 1o pico","High"
