"date","iso_code","new_cases_per_million","new_cases_smoothed_per_million","cases_growth","deaths_growth","vaccine_growth","Policy_change","Restrict","Isolamento","Isolamento_7","Isolamento_14","Residential","Closure","stayhome_growth","stayhome_growth_7","stayhome_growth_14","total_deaths","cases_growth_after14","Policy","cases_rolling_14","cum_negative_day","y.max","delta","Pico","nPico","Onda"
2020-03-07,"JPN",0.185857142855551,0.143928571430959,6.81444991796054,0,NA,0,FALSE,"Queda","Voluntário","Voluntário",5,1.125,0,25,150,5.07142857142857,-1.49159663866244,"Sem mudanças",3.37232680926561,0,353.615071428574,353.471142857143,FALSE,0,"pós 2o pico"
2020-03-08,"JPN",0.197714285712694,0.156071428573816,6.37970791704157,19.9999999999272,NA,0,FALSE,"Voluntário","Voluntário","Voluntário",6,1.125,20,50,Inf,5.5,2.02601834080725,"Sem mudanças",3.57371337373996,0,353.615071428574,353.459,FALSE,0,"pós 2o pico"
2020-03-09,"JPN",0.207285714284123,0.168642857145245,4.84104046246672,33.3333333332322,NA,-0.125,FALSE,"Queda","Queda","Queda",4,1,-33.3333333333333,0,-71.4285714285714,6.07142857142857,1.9857859531865,"Flexibilização",3.47983861611278,0,353.615071428574,353.446428571429,FALSE,0,"pós 2o pico"
2020-03-11,"JPN",0.253071428569837,0.20035714285953,8.74769797427715,19.9999999999636,NA,0,FALSE,"Queda","Queda","Voluntário",3,1,-50,-40,200,7.64285714285714,6.64398639186474,"Sem mudanças",3.52402282712509,0,353.615071428574,353.414714285715,FALSE,0,"pós 2o pico"
2020-03-12,"JPN",0.269999999998408,0.217142857145245,6.68924640139685,24.9999999999621,NA,0,FALSE,"Queda","Queda","Voluntário",3,1,0,-25,200,8.71428571428571,6.81178457499565,"Sem mudanças",3.43316311133614,0,353.615071428574,353.397928571429,FALSE,0,"pós 2o pico"
2020-03-13,"JPN",0.280785714284123,0.232428571430959,3.99470899473255,6.66666666665858,NA,0,FALSE,"Voluntário","Queda","Voluntário",5,1,66.6666666666667,0,150,9.85714285714286,10.6816584680671,"Sem mudanças",3.27481502816364,0,353.615071428574,353.382642857143,FALSE,0,"pós 2o pico"
2020-03-15,"JPN",0.320285714284123,0.267785714288102,3.08045977013074,12.4999999999858,NA,0,FALSE,"Queda","Queda","Queda",3,1,-57.1428571428571,-50,-25,12.2857142857143,15.8622559653407,"Sem mudanças",3.37146510386821,0,353.615071428574,353.347285714286,FALSE,0,"pós 2o pico"
2020-03-16,"JPN",0.319142857141266,0.283785714288102,-0.356824264051736,32.6388888888558,NA,0,FALSE,"Voluntário","Queda","Queda",4,1,33.3333333333333,0,0,14,7.12614088464296,"Sem mudanças",3.02656053495578,0,353.615071428574,353.331285714286,FALSE,0,"pós 2o pico"
2020-03-17,"JPN",0.336071428569837,0.298571428573816,5.30438675025027,0,NA,0,FALSE,"Queda","Queda","Queda",4,1,0,-33.3333333333333,0,15.7142857142857,17.618787547831,"Sem mudanças",2.74361913995107,0,353.615071428574,353.3165,FALSE,0,"pós 2o pico"
2020-03-18,"JPN",0.336071428569837,0.310428571430959,0,4.18848167538948,NA,0,FALSE,"Queda","Queda","Queda",3,1,-25,0,-40,17.5,17.9884843982542,"Sem mudanças",2.87240099205093,0,353.615071428574,353.304642857143,FALSE,0,"pós 2o pico"
2020-03-19,"JPN",0.340571428569837,0.320500000002387,1.33900106270559,4.02010050250963,NA,0,FALSE,"Queda","Queda","Queda",2,1,-33.3333333333333,-33.3333333333333,-50,19.3571428571429,15.1279024006562,"Sem mudanças",2.73412146353082,0,353.615071428574,353.294571428572,FALSE,0,"pós 2o pico"
2020-03-20,"JPN",0.339999999998408,0.328928571430959,-0.16778523490012,3.86473429951419,NA,0,FALSE,"Voluntário","Voluntário","Voluntário",17,1,750,240,240,21.2857142857143,15.2457783551199,"Sem mudanças",2.76532821233411,0,353.615071428574,353.286142857143,FALSE,0,"pós 2o pico"
2020-03-21,"JPN",0.33492857142698,0.33235714285953,-1.49159663866244,7.44186046511124,NA,0,FALSE,"Queda","Queda","Queda",3,1,-82.3529411764706,-57.1428571428571,-40,23.3571428571429,15.6611496707806,"Sem mudanças",2.97995274519855,0,353.615071428574,353.282714285715,FALSE,0,"pós 2o pico"
2020-03-22,"JPN",0.341714285712694,0.335428571430959,2.02601834080725,10.3896103896038,NA,0,FALSE,"Queda","Queda","Queda",3,1,0,0,-50,25.6428571428571,12.4070369800624,"Sem mudanças",3.22899583181684,0,353.615071428574,353.279642857143,FALSE,0,"pós 2o pico"
2020-03-23,"JPN",0.348499999998408,0.339642857145245,1.9857859531865,-3.13725490195901,NA,0,FALSE,"Queda","Queda","Queda",3,1,0,-25,-25,27.8571428571429,6.99945245483466,"Sem mudanças",3.51887725061224,0,353.615071428574,353.275428571429,FALSE,0,"pós 2o pico"
2020-03-24,"JPN",0.35692857142698,0.342642857145245,2.4185283869756,-6.47773279351843,NA,0,FALSE,"Voluntário","Queda","Queda",4,1,33.3333333333333,0,-33.3333333333333,29.9285714285714,10.1833688699457,"Sem mudanças",3.44941508169939,0,353.615071428574,353.272428571429,FALSE,0,"pós 2o pico"
2020-03-25,"JPN",0.380642857141266,0.349000000002387,6.64398639186474,3.46320346320128,NA,0,FALSE,"Queda","Queda","Queda",2,1,-50,-33.3333333333333,-33.3333333333333,32.0714285714286,13.402740150178,"Sem mudanças",3.77914310858183,0,353.615071428574,353.266071428572,FALSE,0,"pós 2o pico"
2020-03-26,"JPN",0.406571428569837,0.358428571430959,6.81178457499565,-6.69456066945197,NA,0,FALSE,"Voluntário","Voluntário","Queda",3,1,50,50,0,34.0714285714286,13.2794102590456,"Sem mudanças",4.00082984564064,0,353.615071428574,353.256642857143,FALSE,0,"pós 2o pico"
2020-03-30,"JPN",0.65392857142698,0.483642857145245,7.12614088464296,-10.0323624595422,NA,0,FALSE,"Queda","Voluntário","Voluntário",5,1,-28.5714285714286,66.6666666666667,25,44.0714285714286,3.70151559908387,"Sem mudanças",4.25596216221722,0,353.615071428574,353.131428571429,FALSE,0,"pós 2o pico"
