"date","iso_code","new_cases_per_million","new_cases_smoothed_per_million","cases_growth","deaths_growth","vaccine_growth","Policy_change","Restrict","Isolamento","Isolamento_7","Isolamento_14","Residential","Closure","stayhome_growth","stayhome_growth_7","stayhome_growth_14","total_deaths","cases_growth_after14","Policy","cases_rolling_14","cum_negative_day","y.max","delta","Pico","nPico","Onda"
2020-03-30,"PRT",42.5697857142807,29.7144285714303,6.29709758485895,NA,NA,0,FALSE,"Voluntário","Voluntário","Voluntário",33,2.375,50,3.125,50,45.1428571428571,-0.91312673676941,"Sem mudanças",4.41024713644953,0,128.438500000002,98.7240714285717,FALSE,0,"pós 2o pico"
2020-04-02,"PRT",57.7847142857092,44.0297857142874,5.71567088796219,11.3548671590785,NA,0,FALSE,"Queda","Queda","Voluntário",33,2.375,0,0,10,84.4285714285714,-0.335331227668789,"Sem mudanças",4.09303270249221,0,128.438500000002,84.4087142857146,FALSE,0,"pós 2o pico"
2020-04-03,"PRT",62.1067857142807,48.743214285716,7.47961027755799,16.5082665082666,NA,0,FALSE,"Voluntário","Queda","Queda",36,2.375,9.09090909090908,0,0,101.571428571429,-6.84200128927663,"Sem mudanças",4.27022675787565,0,128.438500000002,79.695285714286,FALSE,0,"Início ao 1o pico"
2020-04-04,"PRT",64.7547142857092,52.9892857142874,4.26350927837458,5.83336873858182,NA,0,FALSE,"Queda","Queda","Queda",25,2.375,-30.5555555555556,0,-3.84615384615384,119.714285714286,0.273668350121392,"Sem mudanças",3.92053292919351,0,128.438500000002,75.4492142857146,FALSE,0,"Início ao 1o pico"
2020-04-05,"PRT",67.7948571428521,56.9531428571446,4.69485950278337,10.6302689682859,NA,0,FALSE,"Queda","Voluntário","Voluntário",23,2.375,-8,4.54545454545454,4.54545454545454,139.785714285714,-2.54333407166101,"Sem mudanças",3.30652933043516,1,128.438500000002,71.4853571428574,FALSE,0,"Início ao 1o pico"
2020-04-06,"PRT",67.7387857142807,60.548714285716,-0.0827074957224005,2.48929530444881,NA,0,FALSE,"Voluntário","Queda","Voluntário",33,2.375,43.4782608695652,0,3.125,160.357142857143,2.29620010575902,"Sem mudanças",2.97924202123809,2,128.438500000002,67.889785714286,FALSE,0,"Início ao 1o pico"
2020-04-07,"PRT",70.6108571428521,63.6360000000017,4.23992163173061,8.33097295000711,NA,0,FALSE,"Queda","Queda","Queda",32,2.375,-3.03030303030303,-3.03030303030303,-3.03030303030303,182.642857142857,-2.14596251794738,"Sem mudanças",2.31290909835897,3,128.438500000002,64.8025000000003,FALSE,0,"Início ao 1o pico"
2020-04-08,"PRT",71.0732142857092,65.980714285716,0.654796105819466,8.01058927345821,NA,0,FALSE,"Queda","Queda","Queda",30,2.375,-6.25,-9.09090909090909,-6.25,206.714285714286,-1.07420638225783,"Sem mudanças",1.74532297221691,4,128.438500000002,62.457785714286,FALSE,0,"Início ao 1o pico"
2020-04-09,"PRT",72.9365714285664,68.1452857142874,2.6217431722823,3.56148632292423,NA,0.125,TRUE,"Imposto","Imposto","Imposto",35,2.5,16.6666666666667,6.06060606060606,6.06060606060606,231.642857142857,-5.02210955358812,"Restrição",1.31310853538613,5,128.438500000002,60.2932142857146,FALSE,0,"Início ao 1o pico"
2020-04-10,"PRT",78.4845714285664,70.4850000000017,7.60660926519374,2.86632578524471,NA,0,FALSE,"Voluntário","Voluntário","Voluntário",46,2.5,31.4285714285714,27.7777777777778,27.7777777777778,257.285714285714,-12.7664535119537,"Sem mudanças",0.290136280612226,6,128.438500000002,57.9535000000003,FALSE,0,"Início ao 1o pico"
2020-04-11,"PRT",75.7736428571378,72.0591428571446,-3.45409106794442,3.06197807191957,NA,0,FALSE,"Queda","Voluntário","Voluntário",26,2.5,-43.4782608695652,4,4,283.714285714286,1.09205562593104,"Sem mudanças",0.00514764287985496,7,128.438500000002,56.3793571428574,FALSE,0,"Início ao 1o pico"
2020-04-12,"PRT",74.4146428571378,73.0048571428589,-1.79349962435122,4.05412854150591,NA,0,FALSE,"Queda","Queda","Voluntário",23,2.5,-11.5384615384615,0,4.54545454545454,311.214285714286,-1.70156220953865,"Sem mudanças",-0.511866183866172,8,128.438500000002,55.4336428571431,FALSE,0,"Início ao 1o pico"
2020-04-13,"PRT",73.7351428571378,73.8615000000017,-0.91312673676941,2.59833134684151,NA,0,FALSE,"Voluntário","Voluntário","Voluntário",37,2.5,60.8695652173913,12.1212121212121,12.1212121212121,339.428571428571,-2.55527009573356,"Sem mudanças",-0.341944212331785,9,128.438500000002,54.5770000000003,FALSE,0,"Início ao 1o pico"
2020-04-14,"PRT",70.085499999995,73.7865000000017,-4.94966540475015,3.038517141677,NA,-0.125,FALSE,"Queda","Queda","Queda",31,2.375,-16.2162162162162,-3.125,-6.06060606060606,368.5,-3.08747486044795,"Flexibilização",-0.798078794451641,10,128.438500000002,54.6520000000003,FALSE,0,"Início ao 1o pico"
2020-04-15,"PRT",68.9297142857092,73.4802857142874,-1.6491081811299,1.22767018264724,NA,0,FALSE,"Voluntário","Voluntário","Queda",32,2.375,3.2258064516129,6.66666666666667,-3.03030303030303,397.928571428571,-6.69193342629197,"Sem mudanças",-0.921578972171448,11,128.438500000002,54.9582142857146,FALSE,0,"Início ao 1o pico"
2020-04-16,"PRT",68.6985714285664,72.8747857142874,-0.335331227668789,1.94044996658664,NA,0,FALSE,"Voluntário","Queda","Queda",33,2.375,3.125,-5.71428571428572,0,427.928571428571,-3.27410429123111,"Sem mudanças",-1.46756845259076,12,128.438500000002,55.5637142857146,FALSE,0,"Início ao 1o pico"
2020-04-17,"PRT",63.9982142857092,70.8052857142874,-6.84200128927663,-2.14388035059606,NA,0,FALSE,"Voluntário","Queda","Queda",35,2.375,6.06060606060606,-23.9130434782609,-2.77777777777778,457.285714285714,2.01485128987322,"Sem mudanças",-1.9328937125381,13,128.438500000002,57.6332142857146,FALSE,0,"Início ao 1o pico"
2020-04-18,"PRT",64.1733571428521,69.1480714285731,0.273668350121392,2.43400158793172,NA,0,FALSE,"Queda","Queda","Queda",22,2.375,-37.1428571428571,-15.3846153846154,-12,487.357142857143,-13.0193606802755,"Sem mudanças",-1.80771307979483,14,128.438500000002,59.2904285714289,FALSE,0,"Início ao 1o pico"
2020-04-19,"PRT",62.5412142857092,67.4518571428589,-2.54333407166101,-0.474748698074356,NA,0,FALSE,"Queda","Queda","Queda",20,2.375,-9.09090909090909,-13.0434782608696,-13.0434782608696,517.285714285714,-7.79282841959719,"Sem mudanças",-1.86212525632214,14,128.438500000002,60.9866428571431,FALSE,0,"Início ao 1o pico"
2020-04-20,"PRT",63.9772857142807,66.0578571428589,2.29620010575902,1.19253328141351,NA,0,FALSE,"Voluntário","Queda","Queda",32,2.375,60,-13.5135135135135,-3.03030303030303,547.571428571429,-8.17582647159971,"Sem mudanças",-2.01743583658489,14,128.438500000002,62.3806428571431,FALSE,0,"Início ao 1o pico"
