"date","iso_code","new_cases_per_million","new_cases_smoothed_per_million","cases_growth","deaths_growth","vaccine_growth","Policy_change","Restrict","Isolamento","Isolamento_7","Isolamento_14","Residential","Closure","stayhome_growth","stayhome_growth_7","stayhome_growth_14","total_deaths","cases_growth_after14","Policy","cases_rolling_14","cum_negative_day","y.max","delta","Pico","nPico","Onda"
2020-04-13,"URY",3.35178571428169,4.29178571428984,-4.67823190054977,16.6666666666679,NA,-0.25,FALSE,"Queda","Queda","Queda",18,1.625,-10,-14.2857142857143,-10,5.57142857142857,8.72825517603981,"Flexibilização",-2.02818745273009,14,396.303714285718,392.011928571428,FALSE,0,"pós 2o pico"
2020-04-14,"URY",3.16671428571026,4.05385714286127,-5.52157698455644,0,NA,0,FALSE,"Voluntário","Queda","Queda",20,1.625,11.1111111111111,-4.76190476190477,0,6.07142857142857,-2.92096655595133,"Sem mudanças",-2.08773538468013,14,396.303714285718,392.249857142857,FALSE,0,"pós 2o pico"
2020-04-15,"URY",2.94049999999598,3.77185714286127,-7.14350160148874,0,NA,0,FALSE,"Queda","Queda","Queda",18,1.625,-10,-10,-14.2857142857143,6.57142857142857,3.00624232768745,"Sem mudanças",-2.77899683678418,14,396.303714285718,392.531857142857,FALSE,0,"pós 2o pico"
2020-04-16,"URY",2.73485714285312,3.47228571428984,-6.9934656399639,-28.5714285714305,NA,0,FALSE,"Queda","Queda","Queda",18,1.625,0,-21.7391304347826,-10,6.92857142857143,2.91850499518647,"Sem mudanças",-2.15555003849563,14,396.303714285718,392.831428571428,FALSE,0,"pós 2o pico"
2020-04-17,"URY",2.50864285713884,3.1844285714327,-8.27152110322988,0,NA,0,FALSE,"Voluntário","Queda","Queda",19,1.625,5.55555555555556,-32.1428571428571,-9.52380952380952,7.28571428571429,-0.709551849024115,"Sem mudanças",-2.48811578074823,14,396.303714285718,393.119285714285,FALSE,0,"pós 2o pico"
2020-04-18,"URY",2.40585714285312,2.94650000000413,-4.0972637453441,-20.0000000000019,NA,0,FALSE,"Queda","Queda","Queda",16,1.625,-15.7894736842105,-20,-15.7894736842105,7.57142857142857,-3.57063100171712,"Sem mudanças",-2.34993027200182,14,396.303714285718,393.357214285714,FALSE,0,"pós 2o pico"
2020-04-19,"URY",2.50871428571026,2.80257142857556,4.27528056529423,0,NA,0,FALSE,"Voluntário","Queda","Queda",18,1.625,12.5,-10,-14.2857142857143,7.85714285714286,-5.92609747311857,"Sem mudanças",-2.34639811184725,14,396.303714285718,393.501142857142,FALSE,0,"pós 2o pico"
2020-04-20,"URY",2.46757142856741,2.67628571428984,-1.639997722228,0,NA,0,FALSE,"Queda","Queda","Queda",16,1.625,-11.1111111111111,-11.1111111111111,-23.8095238095238,8.14285714285714,-3.93610328510685,"Sem mudanças",-2.0629209653097,14,396.303714285718,393.627428571428,FALSE,0,"pós 2o pico"
2020-04-21,"URY",2.44699999999598,2.5734285714327,-0.833671047300621,25.0000000000029,NA,0,FALSE,"Queda","Queda","Queda",16,1.625,0,-20,-23.8095238095238,8.5,4.09738041002934,"Sem mudanças",-1.92356768082118,14,396.303714285718,393.730285714285,FALSE,0,"pós 2o pico"
2020-04-23,"URY",1.72728571428169,2.28264285714698,-9.67766032945672,0,NA,0,FALSE,"Voluntário","Queda","Queda",17,1.625,6.25,-5.55555555555556,-26.0869565217391,9.21428571428571,2.42043926490747,"Sem mudanças",-1.83661024308046,14,396.303714285718,394.021071428571,FALSE,0,"pós 2o pico"
