"date","Estado","Sigla","C6","C6_Flag","Residential","new_cases","new_deaths","total_cases_per_million","Policy_change","stayhome_growth_14","Isolamento_14","cases_growth","deaths_growth"
2020-01-01,"Acre","AC","Sem medida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,"Acre","AC","Sem medida",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
2020-01-03,"Acre","AC","Sem medida",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
2020-01-04,"Acre","AC","Sem medida",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
2020-01-05,"Acre","AC","Sem medida",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
2020-01-06,"Acre","AC","Sem medida",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
2020-01-07,"Acre","AC","Sem medida",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
2020-01-08,"Acre","AC","Sem medida",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
2020-01-09,"Acre","AC","Sem medida",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
2020-01-10,"Acre","AC","Sem medida",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
2020-01-11,"Acre","AC","Sem medida",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
2020-01-12,"Acre","AC","Sem medida",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
2020-01-13,"Acre","AC","Sem medida",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
2020-01-14,"Acre","AC","Sem medida",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
2020-01-15,"Acre","AC","Sem medida",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
2020-01-16,"Acre","AC","Sem medida",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
2020-01-17,"Acre","AC","Sem medida",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
2020-01-18,"Acre","AC","Sem medida",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
2020-01-19,"Acre","AC","Sem medida",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
2020-01-20,"Acre","AC","Sem medida",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
2020-01-21,"Acre","AC","Sem medida",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
2020-01-22,"Acre","AC","Sem medida",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
2020-01-23,"Acre","AC","Sem medida",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
2020-01-24,"Acre","AC","Sem medida",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
2020-01-25,"Acre","AC","Sem medida",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
2020-01-26,"Acre","AC","Sem medida",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
2020-01-27,"Acre","AC","Sem medida",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
2020-01-28,"Acre","AC","Sem medida",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
