date,iso_code,Retail & Recreation,Grocery & Pharmacy,Parks,Transit Stations,Workplaces,Residential,Isolamento
2020-02-15,ARE,0.0,4.0,5.0,0.0,2.0,1.0,
2020-02-16,ARE,1.0,4.0,4.0,1.0,2.0,1.0,
2020-02-17,ARE,-1.0,1.0,5.0,1.0,2.0,1.0,
2020-02-18,ARE,-2.0,1.0,5.0,0.0,2.0,1.0,
2020-02-19,ARE,-2.0,0.0,4.0,-1.0,2.0,1.0,
2020-02-20,ARE,-2.0,1.0,6.0,1.0,1.0,1.0,
2020-02-21,ARE,-3.0,2.0,6.0,0.0,-1.0,1.0,
2020-02-22,ARE,-2.0,2.0,4.0,-2.0,3.0,1.0,0.0
2020-02-23,ARE,-1.0,3.0,3.0,-1.0,4.0,1.0,0.0
2020-02-24,ARE,-3.0,0.0,5.0,-1.0,3.0,1.0,0.0
2020-02-25,ARE,-3.0,2.0,3.0,-2.0,3.0,1.0,0.0
2020-02-26,ARE,-2.0,1.0,-3.0,-2.0,3.0,1.0,0.0
2020-02-27,ARE,1.0,5.0,-1.0,-1.0,3.0,1.0,0.0
2020-02-28,ARE,1.0,5.0,-1.0,-1.0,1.0,1.0,0.0
2020-02-29,ARE,2.0,7.0,-1.0,-1.0,5.0,0.0,-1.0
2020-03-01,ARE,3.0,10.0,2.0,-1.0,4.0,1.0,0.0
2020-03-02,ARE,0.0,7.0,1.0,-2.0,4.0,1.0,0.0
2020-03-03,ARE,0.0,6.0,0.0,-5.0,4.0,1.0,0.0
2020-03-04,ARE,-1.0,7.0,-2.0,-5.0,3.0,2.0,1.0
2020-03-05,ARE,-3.0,6.0,-2.0,-5.0,3.0,2.0,1.0
2020-03-06,ARE,-7.0,5.0,-8.0,-9.0,0.0,3.0,2.0
2020-03-07,ARE,-3.0,6.0,1.0,-8.0,4.0,2.0,inf
2020-03-08,ARE,1.0,8.0,6.0,-9.0,-1.0,3.0,2.0
2020-03-09,ARE,-3.0,4.0,4.0,-10.0,-1.0,4.0,3.0
2020-03-10,ARE,-4.0,6.0,3.0,-11.0,-2.0,4.0,3.0
2020-03-11,ARE,-4.0,5.0,0.0,-12.0,-2.0,4.0,1.0
2020-03-12,ARE,-8.0,6.0,-6.0,-15.0,-3.0,5.0,1.5
2020-03-13,ARE,-16.0,3.0,-15.0,-20.0,-2.0,5.0,0.6666666666666667
2020-03-14,ARE,-12.0,4.0,-12.0,-17.0,2.0,4.0,1.0
2020-03-15,ARE,-6.0,11.0,-11.0,-15.0,-4.0,5.0,0.6666666666666667
2020-03-16,ARE,-11.0,8.0,-14.0,-17.0,-6.0,6.0,0.5
2020-03-17,ARE,-16.0,5.0,-18.0,-22.0,-9.0,7.0,0.75
2020-03-18,ARE,-19.0,2.0,-19.0,-25.0,-11.0,9.0,1.25
2020-03-19,ARE,-24.0,-1.0,-26.0,-31.0,-12.0,11.0,1.2000000000000002
2020-03-20,ARE,-37.0,-11.0,-45.0,-44.0,-12.0,11.0,1.2000000000000002
2020-03-21,ARE,-32.0,-12.0,-37.0,-42.0,-8.0,10.0,1.5
2020-03-22,ARE,-30.0,-13.0,-36.0,-45.0,-17.0,13.0,1.6
2020-03-23,ARE,-27.0,14.0,-38.0,-46.0,-20.0,14.0,1.3333333333333335
2020-03-24,ARE,-39.0,-6.0,-43.0,-53.0,-28.0,17.0,1.4285714285714284
2020-03-25,ARE,-50.0,-18.0,-47.0,-60.0,-35.0,21.0,1.3333333333333335
2020-03-26,ARE,-55.0,-13.0,-54.0,-67.0,-40.0,25.0,1.272727272727273
2020-03-27,ARE,-80.0,-60.0,-80.0,-84.0,-52.0,25.0,1.272727272727273
2020-03-28,ARE,-72.0,-47.0,-68.0,-80.0,-56.0,28.0,1.7999999999999998
2020-03-29,ARE,-55.0,-26.0,-53.0,-69.0,-45.0,26.0,1.0
2020-03-30,ARE,-57.0,-27.0,-53.0,-69.0,-46.0,25.0,0.7857142857142858
2020-03-31,ARE,-56.0,-26.0,-53.0,-69.0,-46.0,25.0,0.47058823529411775
2020-04-01,ARE,-56.0,-24.0,-53.0,-70.0,-46.0,25.0,0.19047619047619047
2020-04-02,ARE,-58.0,-25.0,-56.0,-71.0,-47.0,28.0,0.1200000000000001
2020-04-03,ARE,-69.0,-39.0,-75.0,-79.0,-44.0,22.0,-0.12
2020-04-04,ARE,-58.0,-27.0,-58.0,-72.0,-37.0,21.0,-0.25
2020-04-05,ARE,-61.0,-30.0,-58.0,-79.0,-57.0,31.0,0.1923076923076923
2020-04-06,ARE,-63.0,-32.0,-58.0,-78.0,-56.0,30.0,0.19999999999999996
2020-04-07,ARE,-63.0,-30.0,-73.0,-78.0,-55.0,30.0,0.19999999999999996
2020-04-08,ARE,-63.0,-30.0,-74.0,-78.0,-55.0,30.0,0.19999999999999996
2020-04-09,ARE,-64.0,-31.0,-76.0,-79.0,-55.0,33.0,0.1785714285714286
2020-04-10,ARE,-74.0,-46.0,-86.0,-84.0,-49.0,23.0,0.045454545454545414
2020-04-11,ARE,-64.0,-32.0,-77.0,-79.0,-45.0,24.0,0.1428571428571428
2020-04-12,ARE,-60.0,-28.0,-74.0,-79.0,-55.0,30.0,-0.032258064516129004
2020-04-13,ARE,-62.0,-30.0,-73.0,-78.0,-55.0,30.0,0.0
2020-04-14,ARE,-62.0,-31.0,-74.0,-78.0,-55.0,30.0,0.0
2020-04-15,ARE,-63.0,-32.0,-74.0,-78.0,-56.0,31.0,0.03333333333333344
2020-04-16,ARE,-63.0,-32.0,-74.0,-79.0,-55.0,34.0,0.030303030303030276
2020-04-17,ARE,-73.0,-45.0,-85.0,-84.0,-48.0,23.0,0.0
2020-04-18,ARE,-66.0,-39.0,-78.0,-78.0,-45.0,24.0,0.0
2020-04-19,ARE,-62.0,-35.0,-74.0,-78.0,-54.0,30.0,0.0
2020-04-20,ARE,-63.0,-37.0,-74.0,-78.0,-55.0,30.0,0.0
2020-04-21,ARE,-63.0,-35.0,-74.0,-78.0,-55.0,30.0,0.0
2020-04-22,ARE,-62.0,-33.0,-75.0,-77.0,-55.0,30.0,-0.032258064516129004
2020-04-23,ARE,-62.0,-29.0,-76.0,-77.0,-55.0,32.0,-0.05882352941176472
2020-04-24,ARE,-72.0,-40.0,-86.0,-80.0,-47.0,24.0,0.04347826086956519
2020-04-25,ARE,-62.0,-32.0,-77.0,-74.0,-41.0,25.0,0.04166666666666674
2020-04-26,ARE,-56.0,-26.0,-73.0,-69.0,-49.0,30.0,0.0
2020-04-27,ARE,-57.0,-28.0,-73.0,-68.0,-48.0,30.0,0.0
2020-04-28,ARE,-56.0,-26.0,-72.0,-67.0,-48.0,28.0,-0.06666666666666665
2020-04-29,ARE,-55.0,-24.0,-72.0,-67.0,-47.0,29.0,-0.033333333333333326
2020-04-30,ARE,-57.0,-26.0,-71.0,-66.0,-47.0,31.0,-0.03125
2020-05-01,ARE,-66.0,-36.0,-83.0,-73.0,-41.0,22.0,-0.08333333333333337
2020-05-02,ARE,-56.0,-26.0,-72.0,-66.0,-34.0,22.0,-0.12
2020-05-03,ARE,-51.0,-22.0,-68.0,-65.0,-45.0,27.0,-0.09999999999999998
2020-05-04,ARE,-52.0,-24.0,-68.0,-65.0,-45.0,28.0,-0.06666666666666665
2020-05-05,ARE,-53.0,-23.0,-68.0,-64.0,-45.0,27.0,-0.0357142857142857
2020-05-06,ARE,-51.0,-20.0,-67.0,-62.0,-44.0,28.0,-0.03448275862068961
2020-05-07,ARE,-53.0,-23.0,-68.0,-63.0,-44.0,30.0,-0.032258064516129004
2020-05-08,ARE,-63.0,-35.0,-81.0,-72.0,-38.0,21.0,-0.045454545454545414
2020-05-09,ARE,-53.0,-25.0,-70.0,-63.0,-31.0,22.0,0.0
2020-05-10,ARE,-48.0,-19.0,-66.0,-61.0,-42.0,27.0,0.0
2020-05-11,ARE,-51.0,-22.0,-66.0,-61.0,-43.0,28.0,0.0
2020-05-12,ARE,-50.0,-20.0,-66.0,-61.0,-43.0,28.0,0.03703703703703698
2020-05-13,ARE,-51.0,-21.0,-66.0,-61.0,-43.0,28.0,0.0
2020-05-14,ARE,-53.0,-20.0,-67.0,-61.0,-43.0,29.0,-0.033333333333333326
2020-05-15,ARE,-62.0,-32.0,-80.0,-70.0,-35.0,21.0,0.0
2020-05-16,ARE,-51.0,-21.0,-68.0,-61.0,-29.0,21.0,-0.045454545454545414
2020-05-17,ARE,-47.0,-16.0,-64.0,-60.0,-41.0,27.0,0.0
2020-05-18,ARE,-48.0,-18.0,-64.0,-59.0,-42.0,27.0,-0.0357142857142857
2020-05-19,ARE,-49.0,-19.0,-65.0,-60.0,-42.0,27.0,-0.0357142857142857
2020-05-20,ARE,-53.0,-22.0,-67.0,-61.0,-44.0,28.0,0.0
2020-05-21,ARE,-53.0,-20.0,-69.0,-61.0,-43.0,30.0,0.034482758620689724
2020-05-22,ARE,-59.0,-27.0,-81.0,-69.0,-33.0,21.0,0.0
2020-05-23,ARE,-52.0,-17.0,-73.0,-66.0,-47.0,25.0,0.19047619047619047
2020-05-24,ARE,-56.0,-31.0,-68.0,-72.0,-77.0,36.0,0.33333333333333326
2020-05-25,ARE,-52.0,-23.0,-65.0,-69.0,-73.0,34.0,0.2592592592592593
2020-05-26,ARE,-50.0,-23.0,-66.0,-66.0,-63.0,31.0,0.14814814814814814
2020-05-27,ARE,-44.0,-18.0,-63.0,-55.0,-38.0,23.0,-0.1785714285714286
2020-05-28,ARE,-46.0,-19.0,-64.0,-56.0,-37.0,25.0,-0.16666666666666663
2020-05-29,ARE,-55.0,-29.0,-73.0,-64.0,-29.0,19.0,-0.09523809523809523
2020-05-30,ARE,-42.0,-17.0,-62.0,-55.0,-20.0,16.0,-0.36
2020-05-31,ARE,-35.0,-9.0,-58.0,-52.0,-32.0,20.0,-0.4444444444444444
2020-06-01,ARE,-37.0,-10.0,-57.0,-51.0,-32.0,20.0,-0.4117647058823529
2020-06-02,ARE,-38.0,-12.0,-58.0,-52.0,-32.0,21.0,-0.32258064516129037
2020-06-03,ARE,-38.0,-12.0,-57.0,-51.0,-32.0,21.0,-0.08695652173913049
2020-06-04,ARE,-41.0,-14.0,-60.0,-52.0,-31.0,23.0,-0.07999999999999996
2020-06-05,ARE,-49.0,-23.0,-68.0,-61.0,-26.0,17.0,-0.10526315789473684
2020-06-06,ARE,-39.0,-15.0,-60.0,-54.0,-18.0,16.0,0.0
2020-06-07,ARE,-35.0,-9.0,-56.0,-51.0,-30.0,20.0,0.0
2020-06-08,ARE,-37.0,-13.0,-56.0,-50.0,-29.0,20.0,0.0
2020-06-09,ARE,-39.0,-14.0,-57.0,-52.0,-29.0,20.0,-0.04761904761904767
2020-06-10,ARE,-38.0,-13.0,-56.0,-52.0,-30.0,20.0,-0.04761904761904767
2020-06-11,ARE,-40.0,-13.0,-57.0,-52.0,-29.0,22.0,-0.04347826086956519
2020-06-12,ARE,-48.0,-23.0,-66.0,-60.0,-23.0,16.0,-0.05882352941176472
2020-06-13,ARE,-38.0,-15.0,-57.0,-53.0,-16.0,15.0,-0.0625
2020-06-14,ARE,-34.0,-10.0,-54.0,-50.0,-28.0,19.0,-0.050000000000000044
2020-06-15,ARE,-36.0,-13.0,-53.0,-50.0,-27.0,19.0,-0.050000000000000044
2020-06-16,ARE,-36.0,-12.0,-53.0,-50.0,-27.0,19.0,-0.050000000000000044
