"date","Estado","Sigla","C6","C6_Flag","Residential","new_cases","new_deaths","Populacao","total_cases_per_million","Policy_change","stayhome_growth_14","stayhome_growth_after","Isolamento","cases_growth","deaths_growth","new_cases_100K","new_deaths_100K","new_cases_1M","cases_growth_100K","cum_cases_100K","cum_cases_1M","cum_deaths_100K","total_deaths","tmp","y.max","delta","Pico","nPico","Onda"
2020-01-01,"Acre","AC","Sem restrição",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brando",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,FALSE,0,"1o ao 2o Pico"
2020-01-02,"Acre","AC","Sem restrição",NA,NA,NA,NA,NA,NA,0,NA,NA,"Brando",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,FALSE,0,"1o ao 2o Pico"
2020-01-03,"Acre","AC","Sem restrição",NA,NA,NA,NA,NA,NA,0,NA,NA,"Brando",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,FALSE,0,"1o ao 2o Pico"
2020-01-04,"Acre","AC","Sem restrição",NA,NA,NA,NA,NA,NA,0,NA,NA,"Brando",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,FALSE,0,"1o ao 2o Pico"
2020-01-05,"Acre","AC","Sem restrição",NA,NA,NA,NA,NA,NA,0,NA,NA,"Brando",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,FALSE,0,"1o ao 2o Pico"
2020-01-06,"Acre","AC","Sem restrição",NA,NA,NA,NA,NA,NA,0,NA,NA,"Brando",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,FALSE,0,"1o ao 2o Pico"
2020-01-07,"Acre","AC","Sem restrição",NA,NA,NA,NA,NA,NA,0,NA,NA,"Brando",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,FALSE,0,"1o ao 2o Pico"
2020-01-08,"Acre","AC","Sem restrição",NA,NA,NA,NA,NA,NA,0,NA,NA,"Brando",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,FALSE,0,"1o ao 2o Pico"
2020-01-09,"Acre","AC","Sem restrição",NA,NA,NA,NA,NA,NA,0,NA,NA,"Brando",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,FALSE,0,"1o ao 2o Pico"
2020-01-10,"Acre","AC","Sem restrição",NA,NA,NA,NA,NA,NA,0,NA,NA,"Brando",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,FALSE,0,"1o ao 2o Pico"
2020-01-11,"Acre","AC","Sem restrição",NA,NA,NA,NA,NA,NA,0,NA,NA,"Brando",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,FALSE,0,"1o ao 2o Pico"
2020-01-12,"Acre","AC","Sem restrição",NA,NA,NA,NA,NA,NA,0,NA,NA,"Brando",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,FALSE,0,"1o ao 2o Pico"
2020-01-13,"Acre","AC","Sem restrição",NA,NA,NA,NA,NA,NA,0,NA,NA,"Brando",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,FALSE,0,"1o ao 2o Pico"
2020-01-14,"Acre","AC","Sem restrição",NA,NA,NA,NA,NA,NA,0,NA,NA,"Brando",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,FALSE,0,"1o ao 2o Pico"
2020-01-15,"Acre","AC","Sem restrição",NA,NA,NA,NA,NA,NA,0,NA,NA,"Brando",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,FALSE,0,"1o ao 2o Pico"
2020-01-16,"Acre","AC","Sem restrição",NA,NA,NA,NA,NA,NA,0,NA,NA,"Brando",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,FALSE,0,"1o ao 2o Pico"
2020-01-17,"Acre","AC","Sem restrição",NA,NA,NA,NA,NA,NA,0,NA,NA,"Brando",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,FALSE,0,"1o ao 2o Pico"
2020-01-18,"Acre","AC","Sem restrição",NA,NA,NA,NA,NA,NA,0,NA,NA,"Brando",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,FALSE,0,"1o ao 2o Pico"
2020-01-19,"Acre","AC","Sem restrição",NA,NA,NA,NA,NA,NA,0,NA,NA,"Brando",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,FALSE,0,"1o ao 2o Pico"
