"date","iso_code","new_cases_per_million","new_cases_smoothed_per_million","cases_growth","deaths_growth","vaccine_growth","Policy_change","Restrict","Isolamento","Isolamento_7","Isolamento_14","Residential","Closure","stayhome_growth","stayhome_growth_7","stayhome_growth_14","total_deaths","cases_growth_after14","Policy","cases_rolling_14","cum_negative_day","y.max","delta","Pico","nPico","Onda","Strigency_type"
2020-04-05,"CHL",14.8641428571419,11.8657142857162,5.71345840254851,22.2695035460993,NA,0,FALSE,"Queda","Queda","Queda",20,2.125,-13.0434782608696,-16.6666666666667,-9.09090909090909,11.8571428571429,0.768872748651228,"Sem mudanças",3.26039146796318,0,317.49592857143,305.630214285714,FALSE,0,"pós 2o pico","Low"
2020-04-06,"CHL",15.723499999999,12.8452142857162,5.78141068150622,6.09048723897911,NA,0,FALSE,"Voluntário","Queda","Queda",24,2.125,20,-7.69230769230769,0,14.3571428571429,1.19236811478824,"Sem mudanças",3.14832247511318,0,317.49592857143,304.650714285714,FALSE,0,"pós 2o pico","Low"
2020-04-07,"CHL",16.1905714285705,13.7617857142876,2.97053091596309,17.1678512848551,NA,0,FALSE,"Queda","Queda","Queda",23,2.125,-4.16666666666666,-8,-8,17.2857142857143,0.376857637898387,"Sem mudanças",3.20855788271009,0,317.49592857143,303.734142857142,FALSE,0,"pós 2o pico","Low"
2020-04-08,"CHL",16.9752142857133,14.6537142857162,4.8462950217943,9.79934671021934,NA,0,FALSE,"Voluntário","Queda","Queda",24,2.125,4.34782608695652,-7.69230769230769,-7.69230769230769,20.5,0.532201321079873,"Sem mudanças",3.28639867204598,0,317.49592857143,302.842214285714,FALSE,0,"pós 2o pico","Low"
2020-04-09,"CHL",17.9542142857133,15.4864285714304,5.76723205682266,17.8070548236294,NA,0,FALSE,"Queda","Queda","Queda",23,2.125,-4.16666666666666,-14.8148148148148,-8,24.2857142857143,1.40097782777024,"Sem mudanças",3.30884845962494,0,317.49592857143,302.0095,FALSE,0,"pós 2o pico","Low"
2020-04-10,"CHL",18.7949285714276,16.3660714285733,4.68254568167465,13.2034632034632,NA,0,FALSE,"Voluntário","Voluntário","Voluntário",38,2.125,65.2173913043478,31.0344827586207,22.5806451612903,28.5714285714286,-0.537329901778127,"Sem mudanças",3.30944332864324,0,317.49592857143,301.129857142857,FALSE,0,"pós 2o pico","Low"
2020-04-11,"CHL",19.9943571428562,17.2137142857162,6.38166070634589,11.6634799235181,NA,0,FALSE,"Queda","Voluntário","Voluntário",26,2.125,-31.5789473684211,13.0434782608696,4,33.3571428571429,10.6807345512915,"Sem mudanças",3.7048850480185,0,317.49592857143,300.282214285714,FALSE,0,"pós 2o pico","Low"
2020-04-12,"CHL",20.2035714285705,17.9765000000019,1.04636665344873,8.96118721461188,NA,0,FALSE,"Queda","Voluntário","Queda",21,2.125,-19.2307692307692,5,-12.5,38.5714285714286,2.6076432577681,"Sem mudanças",3.35170035845441,0,317.49592857143,299.519428571428,FALSE,0,"pós 2o pico","Low"
2020-04-13,"CHL",20.210999999999,18.6175714285733,0.0367686052678007,1.38816134101625,NA,0,FALSE,"Voluntário","Queda","Queda",24,2.125,14.2857142857143,0,-7.69230769230769,43.8571428571429,2.31041022576715,"Sem mudanças",3.02391160368884,0,317.49592857143,298.878357142857,FALSE,0,"pós 2o pico","Low"
2020-04-14,"CHL",20.5958571428562,19.2469285714304,1.90419644182458,8.11159907000771,NA,0,FALSE,"Queda","Queda","Queda",23,2.125,-4.16666666666666,0,-8,49.5714285714286,2.12542819633172,"Sem mudanças",2.83864922668422,0,317.49592857143,298.249,FALSE,0,"pós 2o pico","Low"
