"date","iso_code","new_cases_per_million","new_cases_smoothed_per_million","cases_growth","deaths_growth","vaccine_growth","Policy_change","Restrict","Isolamento","Isolamento_7","Isolamento_14","Residential","Closure","stayhome_growth","stayhome_growth_7","stayhome_growth_14","total_deaths","cases_growth_after14","Policy","cases_rolling_14","cum_negative_day","y.max","delta","Pico","nPico","Onda","Strigency_type"
2020-03-04,"KOR",7.78799999999828,5.16000000000239,8.43883954767626,NA,NA,0,FALSE,"Voluntário","Voluntário","Voluntário",10,1.625,25,11.1111111111111,400,13.6428571428571,-10.9129872891796,"Sem mudanças",2.15189115610875,4,13.5876428571452,8.42764285714281,FALSE,0,"Início ao 1o pico",NA
2020-03-05,"KOR",8.33692857142685,6.00507142857382,7.04838946364523,-2.915451895043,NA,0,FALSE,"Queda","Queda","Voluntário",9,1.625,-10,0,350,16.0714285714286,-11.282088949287,"Sem mudanças",1.6674788833549,5,12.9841428571452,6.97907142857138,FALSE,0,"Início ao 1o pico",NA
2020-03-06,"KOR",8.90121428571257,6.81714285714524,6.76850844350148,17.567567567563,NA,0,FALSE,"Voluntário","Queda","Voluntário",10,1.625,11.1111111111111,-23.0769230769231,100,18.9285714285714,-16.8750258724263,"Sem mudanças",1.13830847661218,6,12.4383571428595,5.62121428571426,FALSE,0,"Início ao 1o pico",NA
2020-03-07,"KOR",9.20628571428399,7.51100000000239,3.42730125103383,4.98084291187628,NA,0,FALSE,"Voluntário","Queda","Voluntário",11,1.625,10,-8.33333333333334,22.2222222222222,21.9285714285714,-14.6186598939357,"Sem mudanças",0.67561231435065,7,11.9190000000024,4.40800000000001,FALSE,0,"Início ao 1o pico",NA
2020-03-08,"KOR",9.35121428571257,8.10907142857382,1.5742349947244,4.74452554744424,NA,0,FALSE,"Queda","Queda","Voluntário",9,1.625,-18.1818181818182,-18.1818181818182,12.5,25.0714285714286,-6.31379410907412,"Sem mudanças",-0.138879175148136,8,11.4439285714309,3.33485714285708,FALSE,0,"Início ao 1o pico",NA
2020-03-09,"KOR",9.25785714285542,8.57485714285953,-0.998342461254254,2.3228803716604,NA,0,FALSE,"Queda","Queda","Queda",8,1.625,-11.1111111111111,-11.1111111111111,0,28.2857142857143,-9.95797665370395,"Sem mudanças",-0.0808158083802658,9,10.9842142857166,2.40935714285707,FALSE,0,"Início ao 1o pico",NA
2020-03-10,"KOR",9.10599999999828,8.84971428571667,-1.64030553198086,-2.15664018161139,NA,0,FALSE,"Voluntário","Voluntário","Queda",9,1.625,12.5,12.5,-10,31.4285714285714,2.76222083938553,"Sem mudanças",-0.887550385956788,10,10.5616428571452,1.71192857142853,FALSE,0,"Início ao 1o pico",NA
2020-03-11,"KOR",9.04749999999828,9.02964285714524,-0.642433560290046,9.04872389791,NA,0,FALSE,"Queda","Queda","Queda",8,1.625,-11.1111111111111,-20,-11.1111111111111,34.8571428571429,-9.31875525652561,"Sem mudanças",-1.54199806332285,11,10.2044285714309,1.17478571428566,FALSE,0,"Início ao 1o pico",NA
2020-03-12,"KOR",8.502785714284,9.05335714285953,-6.02060553428448,10.3191489361683,NA,0,FALSE,"Queda","Queda","Queda",8,1.625,0,-11.1111111111111,-11.1111111111111,38.6428571428571,-0.723427935448606,"Sem mudanças",-2.14448285418122,12,9.91928571428807,0.86592857142854,FALSE,0,"Início ao 1o pico",NA
2020-03-13,"KOR",7.86057142856971,8.90471428571667,-7.55298683624846,0,NA,0,FALSE,"Voluntário","Queda","Queda",9,1.625,12.5,-10,-30.7692307692308,42.4285714285714,-1.38639760837196,"Sem mudanças",-2.421963647898,13,9.65407142857379,0.74935714285712,FALSE,0,"Início ao 1o pico",NA
