"date","iso_code","new_cases_per_million","new_cases_smoothed_per_million","cases_growth","deaths_growth","vaccine_growth","Policy_change","Restrict","Isolamento","Isolamento_7","Isolamento_14","Residential","Closure","stayhome_growth","stayhome_growth_7","stayhome_growth_14","total_deaths","cases_growth_after14","Policy","cases_rolling_14","cum_negative_day","y.max","delta","Pico","nPico","Onda","Strigency_type"
2020-04-02,"MEX",0.745642857139203,0.568142857145062,6.82562423253679,32.1799307958291,NA,0,FALSE,"Voluntário","Voluntário","Voluntário",19,2.375,5.55555555555556,18.75,171.428571428571,15.8571428571429,7.1142140034147,"Sem mudanças",4.52335131714909,0,9.1950000000022,8.62685714285714,FALSE,0,"Início ao 1o pico","High"
2020-04-09,"MEX",1.58228571428206,1.1845000000022,5.54602630075678,10.6676899462764,NA,0,FALSE,"Voluntário","Voluntário","Voluntário",23,2.375,15,21.0526315789474,43.75,75.6428571428571,11.2578142784698,"Sem mudanças",4.90460177948954,0,9.59285714285934,8.40835714285714,FALSE,0,"Início ao 1o pico","High"
2020-04-10,"MEX",1.73242857142492,1.31442857143078,9.48898519323247,18.7933425797482,NA,0,FALSE,"Voluntário","Voluntário","Voluntário",30,2.375,30.4347826086957,42.8571428571429,76.4705882352941,91.4285714285714,10.2052379753293,"Sem mudanças",5.46897607592339,0,9.99921428571649,8.68478571428571,FALSE,0,"Início ao 1o pico","High"
2020-04-11,"MEX",1.86757142856777,1.45157142857363,7.80077512989195,16.2872154115571,NA,0,FALSE,"Queda","Voluntário","Voluntário",20,2.375,-33.3333333333333,25,66.6666666666667,109.785714285714,6.59097400743127,"Sem mudanças",6.02099851332833,0,10.3684285714308,8.91685714285717,FALSE,0,"Início ao 1o pico","High"
2020-04-12,"MEX",2.03207142856777,1.59728571428792,8.8082307045227,7.37951807228854,NA,0,FALSE,"Queda","Queda","Voluntário",13,2.375,-35,0,18.1818181818182,129.5,4.08387485764332,"Sem mudanças",6.64233584575317,0,10.7679285714308,9.17064285714288,FALSE,0,"Início ao 1o pico","High"
2020-04-13,"MEX",2.17171428571063,1.7435000000022,6.87194628986436,10.1449275362311,NA,0,FALSE,"Voluntário","Voluntário","Voluntário",20,2.375,53.8461538461539,5.26315789473684,33.3333333333333,151.214285714286,4.98178494651667,"Sem mudanças",6.86837873963942,0,11.1871428571451,9.4436428571429,FALSE,0,"Início ao 1o pico","High"
2020-04-14,"MEX",2.31799999999635,1.88628571428792,6.73595579530144,24.0237691001681,NA,0,FALSE,"Voluntário","Voluntário","Voluntário",21,2.375,5,5,31.25,178.142857142857,7.97027699778559,"Sem mudanças",7.22357295956688,0,11.6135714285736,9.72728571428568,FALSE,0,"Início ao 1o pico","High"
2020-04-15,"MEX",2.47592857142492,2.02578571428792,6.81313940590251,9.30869267624863,NA,0,FALSE,"Queda","Voluntário","Voluntário",21,2.375,0,5,16.6666666666667,207.571428571429,5.27636764221855,"Sem mudanças",7.42413636252265,0,12.0601428571451,10.0343571428572,FALSE,0,"Início ao 1o pico","High"
2020-04-16,"MEX",2.65207142856777,2.17857142857363,7.1142140034147,5.82341891045679,NA,0,FALSE,"Voluntário","Queda","Voluntário",22,2.375,4.76190476190477,-4.34782608695652,15.7894736842105,238.714285714286,8.15758530297432,"Sem mudanças",7.49877548442797,0,12.4905000000022,10.3119285714286,FALSE,0,"Início ao 1o pico","High"
2020-04-17,"MEX",2.8736428571392,2.34157142857363,8.35465539067648,11.4497041420113,NA,0,FALSE,"Voluntário","Queda","Voluntário",24,2.375,9.09090909090908,-20,14.2857142857143,273.428571428571,7.24808250466653,"Sem mudanças",7.11269617474303,0,12.9180714285736,10.5765,FALSE,0,"Início ao 1o pico","High"
2020-04-18,"MEX",3.10628571428206,2.5185000000022,8.09574706073461,17.5205734005832,NA,0,FALSE,"Queda","Queda","Voluntário",17,2.375,-29.1666666666667,-15,6.25,314.214285714286,5.24421546016172,"Sem mudanças",6.91133973307337,0,13.3873571428593,10.8688571428571,FALSE,0,"Início ao 1o pico","High"
2020-04-19,"MEX",3.38942857142492,2.71242857143077,9.11515820457289,3.68195166026641,NA,0,FALSE,"Queda","Queda","Queda",13,2.375,-23.5294117647059,0,0,356.5,4.24240282061217,"Sem mudanças",6.85148589687786,0,13.9215000000022,11.2090714285714,FALSE,0,"Início ao 1o pico","High"
2020-04-20,"MEX",3.50849999999635,2.90342857143078,3.51302368709812,-0.827886710239623,NA,0,FALSE,"Voluntário","Queda","Voluntário",20,2.375,53.8461538461539,0,5.26315789473684,398.428571428571,6.06859487318858,"Sem mudanças",6.73751599347459,0,14.4417142857165,11.5382857142857,FALSE,0,"Início ao 1o pico","High"
2020-04-21,"MEX",3.7206428571392,3.10378571428792,6.04654003543048,21.9903339191556,NA,0,FALSE,"Voluntário","Queda","Voluntário",21,2.375,5,0,5,449.571428571429,2.42393727972479,"Sem mudanças",6.83906095830837,0,14.9625000000022,11.8587142857143,FALSE,0,"Início ao 1o pico","High"
2020-04-22,"MEX",4.07907142856777,3.33278571428792,9.63351187391757,11.1651359625425,NA,0,FALSE,"Voluntário","Voluntário","Voluntário",22,2.375,4.76190476190477,4.76190476190477,10,506.428571428571,3.42540574282286,"Sem mudanças",6.87012832250579,0,15.4936428571451,12.1608571428572,FALSE,0,"Início ao 1o pico","High"
2020-04-25,"MEX",5.33107142856777,4.2240000000022,6.59097400743127,4.46300404541293,NA,0,FALSE,"Queda","Voluntário","Queda",18,2.375,-25,5.88235294117647,-10,713.214285714286,5.19049561352147,"Sem mudanças",6.73655699798772,0,16.0745714285736,11.8505714285714,FALSE,0,"Início ao 1o pico","High"
2020-04-26,"MEX",5.54878571428206,4.5325000000022,4.08387485764332,2.23610243597747,NA,0,FALSE,"Queda","Voluntário","Voluntário",14,2.375,-22.2222222222222,7.69230769230769,7.69230769230769,788.571428571429,3.7060404713565,"Sem mudanças",6.44282467155456,0,16.6958571428593,12.1633571428571,FALSE,0,"Início ao 1o pico","High"
2020-04-27,"MEX",5.82521428571063,4.8635000000022,4.98178494651667,4.45992179863137,NA,0,FALSE,"Voluntário","Voluntário","Voluntário",22,2.375,57.1428571428571,10,10,867.285714285714,2.22692590433291,"Sem mudanças",6.29802808672984,0,17.3329285714308,12.4694285714286,FALSE,0,"Início ao 1o pico","High"
