"date","iso_code","new_cases_per_million","new_cases_smoothed_per_million","cases_growth","deaths_growth","vaccine_growth","Policy_change","Restrict","Isolamento","Isolamento_7","Isolamento_14","Residential","Closure","stayhome_growth","stayhome_growth_7","stayhome_growth_14","total_deaths","cases_growth_after14","Policy","cases_rolling_14","cum_negative_day","y.max","delta","Pico","nPico","Onda","Strigency_type"
2020-03-27,"NOR",36.3516428571384,31.9435714285734,3.44951651885488,NA,NA,0,FALSE,"Voluntário","Queda","Voluntário",21,2.25,5,0,50,8.21428571428571,-9.95776695140077,"Sem mudanças",0.852219388475592,5,72.6103571428593,40.6667857142859,FALSE,0,"1o ao 2o Pico","High"
2020-03-28,"NOR",38.5387857142812,33.7392857142877,6.0166272697449,5.28118755352569,NA,0,FALSE,"Queda","Voluntário","Voluntário",10,2.25,-52.3809523809524,11.1111111111111,25,9.64285714285714,-6.44765609111332,"Sem mudanças",0.903456512988818,5,69.5467857142879,35.8075000000002,FALSE,0,"1o ao 2o Pico","High"
2020-03-29,"NOR",40.3570714285669,35.3467142857163,4.71806695666572,10.0054229934927,NA,0,FALSE,"Voluntário","Queda","Queda",11,2.25,10,-8.33333333333334,0,11.2142857142857,-6.39112131649537,"Sem mudanças",0.668263435393375,5,68.0194285714308,32.6727142857145,FALSE,0,"1o ao 2o Pico","High"
2020-03-30,"NOR",41.0027142857098,36.6567857142877,1.59982584039988,31.8215430120786,NA,0,FALSE,"Voluntário","Queda","Queda",18,2.25,63.6363636363636,-10,0,13.2857142857143,-3.70366786493642,"Sem mudanças",0.624174564771322,5,66.550142857145,29.8933571428573,FALSE,0,"1o ao 2o Pico","High"
2020-03-31,"NOR",41.8722857142812,38.0025714285734,2.12076552423381,24.1398653702323,NA,0,FALSE,"Queda","Queda","Queda",18,2.25,0,-10,-5.26315789473685,15.8571428571429,-8.15572370272246,"Sem mudanças",1.18207396800496,5,64.5740714285736,26.5715000000002,FALSE,0,"1o ao 2o Pico","High"
2020-04-01,"NOR",43.6509999999955,39.5591428571449,4.24795125313073,5.55806597379132,NA,0,FALSE,"Voluntário","Queda","Queda",19,2.25,5.55555555555556,-5,-5,18.5714285714286,-5.29760748798638,"Sem mudanças",0.82536327306976,6,62.6510000000022,23.0918571428573,FALSE,0,"1o ao 2o Pico","High"
2020-04-02,"NOR",44.8104999999955,40.9407142857163,2.65629653387121,13.1706621004568,NA,0,FALSE,"Voluntário","Queda","Queda",20,2.25,5.26315789473684,0,0,21.6428571428571,-6.81943557913771,"Sem mudanças",0.525234337819876,7,59.8325000000022,18.8917857142859,FALSE,0,"1o ao 2o Pico","High"
2020-04-03,"NOR",45.5351428571384,42.2525714285734,1.6171273633254,20.930525784895,NA,0,FALSE,"Queda","Queda","Queda",19,2.25,-5,-9.52380952380952,-9.52380952380952,25.3571428571429,-10.4057404996611,"Sem mudanças",-0.432428767198385,8,58.2740000000022,16.0214285714288,FALSE,0,"1o ao 2o Pico","High"
2020-04-04,"NOR",45.2189285714241,43.2068571428592,-0.694440087091364,5.76582212490881,NA,0,FALSE,"Queda","Queda","Queda",9,2.25,-52.6315789473684,-10,0,29.2857142857143,-5.16936574767714,"Sem mudanças",-1.3227347215454,9,56.9473571428593,13.7405000000001,FALSE,0,"1o ao 2o Pico","High"
2020-04-05,"NOR",43.5060714285669,43.6567142857163,-3.78792067165336,16.364353312303,NA,0,FALSE,"Voluntário","Queda","Queda",11,2.25,22.2222222222222,0,-8.33333333333334,33.8571428571429,-6.39312385309534,"Sem mudanças",-2.11624816962834,10,55.7530000000022,12.0962857142859,FALSE,0,"1o ao 2o Pico","High"
