"Data","Profissionais, Administrativos e Complementares","Outros","Prestados às famílias","Informação e comunicação","Transportes, Serviços auxiliares e Correio","Total"
2011-01-01,92.6,102.4,97,82.4,87.4,88.4
2011-02-01,94.1,103.3,99.5,83,87.2,88.7
2011-03-01,94,105.5,100.2,83.3,86.4,88.5
2011-04-01,94.4,102.6,101,84.4,86,89
2011-05-01,95.4,105,100.6,84.5,87.9,89.6
2011-06-01,95.4,104.4,101.4,85.6,86.7,89.7
2011-07-01,95.5,103.7,102.2,86.3,87.7,90.6
2011-08-01,96.9,107,100.9,87.4,86.8,90.9
2011-09-01,97.3,102.5,100.4,88,86,90.4
2011-10-01,95.1,99.6,100.7,87,86,89.8
2011-11-01,98.6,103.6,102.4,87.7,86.4,91
2011-12-01,98.1,101.7,99.6,87.7,90.4,92.5
2012-01-01,99.3,107,101,87.5,87.4,91.5
2012-02-01,98.5,105.9,99.7,89.5,87.5,91
2012-03-01,100.2,105.2,100.4,89.5,88.3,92.3
2012-04-01,99.6,103.5,100.3,86.6,89.7,92.2
2012-05-01,100.4,106,101.8,90.2,89.2,93.2
2012-06-01,100.3,104.2,101.3,88.9,90.7,93.4
2012-07-01,101.2,106,100.2,89.8,89.7,93.4
2012-08-01,100.5,103.9,101.8,91.1,92.6,94.6
2012-09-01,99.9,102.5,102.7,89.1,92.6,94.1
2012-10-01,99.9,101.2,101.4,90.9,95.2,94.8
2012-11-01,99.2,100.5,102.6,91.9,93.6,94.8
2012-12-01,100.6,103.5,102.4,92.7,94.1,96.7
2013-01-01,100.3,102.7,100,92.6,94.2,95.3
2013-02-01,100.9,103.1,100.1,92.6,94.7,96.5
2013-03-01,98.2,100.6,101.6,92.9,95.1,95.3
2013-04-01,100.8,103.1,101.6,94.6,98.1,97.6
2013-05-01,99.5,101.7,101.9,94.6,96.4,96.9
2013-06-01,101.1,106,101.5,94.6,96.6,97.7
2013-07-01,100,99.5,102.8,96,97.1,97.9
2013-08-01,99.4,99.4,102.7,95.4,96.9,97.3
2013-09-01,99.7,100.7,103,96.3,98,98.3
2013-10-01,99.2,101.9,103.8,98.3,99,98.6
2013-11-01,100.1,100.5,102.5,98.4,99,99.4
2013-12-01,98.7,101,102.5,98.5,99,99.3
2014-01-01,100.5,102,101.9,100.4,100.6,100.5
2014-02-01,99.6,98.9,102,98.6,101.7,100.2
2014-03-01,99.5,98.6,101.2,99,101.4,100.3
2014-04-01,99.2,103.4,101.9,99.5,100.8,100.1
2014-05-01,99.3,98.4,102.7,99.8,99.9,99.8
2014-06-01,99,98.9,97.9,101,96.8,99.4
2014-07-01,99.8,99.3,95.3,99.9,100.9,99.8
2014-08-01,99.5,101.3,101.3,98.8,99.1,99.3
2014-09-01,101.1,100.6,99.5,100.5,100.3,100.5
2014-10-01,101,104.1,99.2,102.4,99.2,100.6
2014-11-01,100.1,97.9,98.6,102,101.8,101.3
2014-12-01,100.7,95.8,100.4,98.5,98.3,99.2
2015-01-01,99.2,93.9,98.7,100.5,94.6,97.7
2015-02-01,98.2,93.7,98.8,101.9,95.1,99.4
2015-03-01,98.2,93.3,96.5,104,97.1,98.6
2015-04-01,98.4,92.9,95.2,100.6,94.6,97.8
2015-05-01,97.6,91.9,94.4,100.3,95.1,97.2
2015-06-01,97,91.7,95.8,99.8,92.1,96.2
2015-07-01,95.2,90.6,92.3,99.7,92.5,95.4
2015-08-01,94.7,88.6,93.5,98.9,95,96.3
2015-09-01,92.8,90.5,93.3,100,93.2,95.3
2015-10-01,93.8,89.6,93.9,99.4,93.6,95.5
2015-11-01,92.3,89.9,92.9,97.8,93,94.5
2015-12-01,91.6,85.7,92.7,98,91.1,93.9
2016-01-01,91.5,86.7,93.9,98.2,90.1,93.3
2016-02-01,92.7,88.2,93.8,96.5,89.9,92.5
2016-03-01,93.1,95.4,92.6,97.8,90.2,93.4
2016-04-01,91.3,89.9,91.1,97.8,87.4,92.2
2016-05-01,91.5,88.6,89.6,97.8,87.6,92.3
2016-06-01,90.4,87.4,89.4,98.1,86.5,91.8
2016-07-01,91.7,90,89.4,98.2,86.4,92.1
2016-08-01,89.5,88.5,90.4,98.6,84.6,91.1
2016-09-01,89,86.2,87.4,98.2,85.2,90.7
2016-10-01,88.7,85.6,88,95.2,82.4,89.3
2016-11-01,87.9,89.5,87.9,95,84,89
2016-12-01,86.7,86.1,90.2,91.4,85.1,88.7
2017-01-01,85.7,81.5,90.7,98,87,89.8
2017-02-01,84.6,81.5,91.1,96.6,88.6,90.7
2017-03-01,82.2,81.2,88.5,95.7,87.1,87.7
2017-04-01,84,75.2,89,95.5,88.6,88.9
2017-05-01,84.1,81.5,90.7,95.2,88.5,88.8
2017-06-01,85.7,81.3,92.7,95.6,90.2,89.8
2017-07-01,84.9,79.6,90.7,94.3,89.3,89.6
2017-08-01,84.4,81,87.4,95.1,88.7,88.7
2017-09-01,83,81.5,90.2,92.6,88.5,88.2
2017-10-01,82.5,81.6,89,93.2,89.2,88.2
2017-11-01,82.5,80.6,89.1,94,89.2,88.7
2017-12-01,83.9,81,87.2,93.1,90.3,89.3
2018-01-01,81.5,82.2,87.3,92.9,88.6,87.9
2018-02-01,83.1,82.5,87.2,91.2,89.2,88.7
2018-03-01,82.7,82.9,88.5,94.9,89,88.8
2018-04-01,83.2,82.5,90,94.8,90.4,89.5
2018-05-01,82.7,80.2,89.6,94.1,81.7,85.3
2018-06-01,82.9,84.1,88.7,97.4,94.8,91.1
2018-07-01,82.4,80.3,91.1,94.5,90.2,88.8
2018-08-01,84.1,82.3,91.3,94.2,92.7,90.2
2018-09-01,82.4,78.4,91.5,95.1,90.5,89.5
2018-10-01,81.1,83.9,90,94.4,89.9,89
2018-11-01,80.9,83.8,91,94.8,90.1,89
2018-12-01,80.5,82.8,91.2,95.4,90.1,89.9
2019-01-01,81.8,86.1,92,95.8,88.7,89.4
2019-02-01,81.6,84.1,91.3,96.7,86.2,89.5
2019-03-01,82.4,84.4,92.5,95.5,87.1,89
2019-04-01,83.3,83.4,92.5,97.2,86.3,89.2
2019-05-01,83.7,87.8,94.1,98.9,86.5,89.5
2019-06-01,83.9,84.9,94.8,96.8,85.8,88.7
2019-07-01,82.1,88.6,93,98.1,87.5,90
2019-08-01,82.7,87.1,92.2,98.8,86.3,89.6
2019-09-01,83.9,87.1,91.5,97.7,88.6,90.6
2019-10-01,84.3,87.7,92.2,98.8,90.1,91.2
2019-11-01,83,89.5,90.6,98.1,88.8,90.9
2019-12-01,81.8,92.1,90.5,98,88.2,90.3
2020-01-01,80.8,93.9,91.6,97.5,89.3,90.8
2020-02-01,80.6,94.5,90.9,96.4,89.9,90
2020-03-01,77.3,93.3,62.2,95.4,82.4,83.8
2020-04-01,69.6,84.2,34,92.9,67.5,73.9
2020-05-01,67.4,81.5,39.1,90.2,70.3,73
2020-06-01,69.5,88.7,45.2,94.2,75.1,77
2020-07-01,70.4,92.5,40,95.8,77.3,79.2
2020-08-01,71.7,93.5,53.9,95.1,80.1,81.5
2020-09-01,71.7,98.8,59.2,97,81.8,83.3
2020-10-01,72.5,95.4,62.1,98.4,83.5,84.8
2020-11-01,74.2,96,67.4,99.1,85.1,86.8
2020-12-01,74.3,100.8,64.7,99.6,84.9,86.8
2021-01-01,76.8,91.5,63.7,98.9,87.5,87.3
